# Sundial demo flight log
# Synthetic L1850 two-stage-recovery profile, 50 Hz control loop
# Generated by examples/make_demo_log.py
# Time (s),state,altitude (m),velocity (m/s),accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2),gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s),pressure (Pa),temperature (C),battery (V),gps_lat (deg),gps_lon (deg),gps_sats,rssi (dBm),mach,pyro_drogue,pyro_main
1.360,PAD,0.021,0.064,0.247,-0.054,9.917,5.87,-6.76,0.50,101329.0,21.59,8.3059,32.9402104,-106.9219772,11,-61.4,0.0000,0,0
1.380,PAD,-0.021,-0.210,-0.162,0.185,9.476,8.05,-6.33,1.61,101327.6,21.50,8.3027,32.9402105,-106.9219774,11,-63.4,0.0000,0,0
1.400,PAD,-0.055,-0.067,-0.006,-0.072,10.185,6.38,-8.22,-0.24,101327.5,21.62,8.3091,32.9402100,-106.9219787,11,-63.4,0.0000,0,0
1.420,PAD,0.070,0.233,-0.012,0.218,9.846,5.44,-6.81,-2.52,101323.4,21.49,8.3076,32.9402097,-106.9219781,11,-62.4,0.0000,0,0
1.440,PAD,-0.076,-0.207,-0.019,-0.034,10.128,4.93,-9.41,-0.60,101324.6,21.53,8.3065,32.9402094,-106.9219777,11,-60.6,0.0000,0,0
1.460,PAD,-0.110,-0.191,0.180,0.113,9.709,5.57,-8.43,-1.31,101324.3,21.46,8.3029,32.9402105,-106.9219781,11,-61.4,0.0000,0,0
1.480,PAD,-0.087,-0.063,0.187,0.150,10.081,3.65,-8.19,1.76,101326.2,21.61,8.3101,32.9402096,-106.9219786,11,-63.0,0.0000,0,0
1.500,PAD,-0.048,-0.051,0.083,-0.113,10.030,4.74,-7.50,-0.58,101320.7,21.42,8.3076,32.9402098,-106.9219787,11,-60.4,0.0000,0,0
1.520,PAD,-0.114,-0.157,-0.161,0.023,10.204,1.99,-6.74,-2.68,101324.2,21.47,8.3042,32.9402094,-106.9219775,11,-62.2,0.0000,0,0
1.540,PAD,0.080,0.142,0.066,0.176,10.025,6.34,-9.26,-1.71,101332.9,21.41,8.3100,32.9402098,-106.9219778,11,-61.5,0.0000,0,0
1.560,PAD,0.090,0.069,0.071,0.065,9.555,2.49,-10.22,-0.99,101336.0,21.44,8.3069,32.9402099,-106.9219783,11,-61.5,0.0000,0,0
1.580,PAD,-0.089,-0.180,-0.198,-0.163,9.691,1.67,-5.55,-1.47,101319.6,21.55,8.3076,32.9402095,-106.9219780,11,-60.8,0.0000,0,0
1.600,PAD,-0.117,0.166,0.040,-0.208,9.951,3.69,-8.59,-1.31,101335.3,21.44,8.3012,32.9402106,-106.9219775,11,-62.6,0.0000,0,0
1.620,PAD,-0.054,0.128,0.191,0.241,9.977,0.97,-9.64,-2.54,101327.0,21.58,8.3039,32.9402091,-106.9219778,11,-60.9,0.0000,0,0
1.640,PAD,-0.120,-0.023,0.233,-0.191,9.920,2.86,-7.60,0.32,101324.2,21.59,8.3097,32.9402097,-106.9219772,11,-62.4,0.0000,0,0
1.660,PAD,-0.095,-0.149,-0.029,0.024,9.634,2.73,-8.16,-2.83,101320.2,21.61,8.3031,32.9402107,-106.9219785,11,-63.5,0.0000,0,0
1.680,PAD,0.088,-0.097,-0.157,0.109,9.511,3.64,-6.04,-0.21,101323.6,21.43,8.3024,32.9402094,-106.9219776,11,-61.0,0.0000,0,0
1.700,PAD,-0.079,0.102,-0.212,0.068,9.948,-0.07,-9.28,-2.05,101334.9,21.44,8.3047,32.9402101,-106.9219786,11,-61.5,0.0000,0,0
1.720,PAD,0.093,-0.111,0.098,-0.195,9.864,1.24,-6.68,2.78,101331.7,21.61,8.3073,32.9402093,-106.9219778,11,-62.2,0.0000,0,0
1.740,PAD,-0.085,0.015,0.086,-0.215,10.127,1.68,-7.22,-0.98,101327.5,21.63,8.3044,32.9402092,-106.9219784,11,-62.4,0.0000,0,0
1.760,PAD,0.089,-0.162,-0.104,0.051,9.492,-0.64,-9.76,-2.03,101321.3,21.61,8.3070,32.9402094,-106.9219781,11,-60.8,0.0000,0,0
1.780,PAD,-0.061,0.070,0.161,-0.211,9.523,0.03,-9.29,-2.37,101327.4,21.45,8.3079,32.9402106,-106.9219773,11,-61.3,0.0000,0,0
1.800,PAD,-0.034,-0.075,0.131,-0.176,9.666,-1.75,-5.95,1.47,101321.7,21.63,8.3121,32.9402095,-106.9219784,11,-61.2,0.0000,0,0
1.820,PAD,-0.050,-0.068,0.207,-0.098,9.706,0.43,-9.09,-0.57,101329.0,21.62,8.3064,32.9402096,-106.9219784,11,-63.6,0.0000,0,0
1.840,PAD,0.033,0.086,-0.092,-0.055,9.613,-1.83,-7.37,2.15,101329.9,21.55,8.3027,32.9402103,-106.9219768,11,-63.0,0.0000,0,0
1.860,PAD,0.024,-0.000,-0.056,0.173,9.559,0.34,-7.57,-0.21,101319.4,21.37,8.3030,32.9402100,-106.9219769,11,-61.9,0.0000,0,0
1.880,PAD,0.015,0.047,0.112,-0.011,9.541,1.15,-8.90,-0.25,101325.9,21.41,8.3021,32.9402101,-106.9219764,11,-60.4,0.0000,0,0
1.900,PAD,-0.086,0.244,-0.191,0.130,10.052,0.26,-5.74,-2.08,101333.2,21.65,8.3113,32.9402108,-106.9219766,11,-63.1,0.0000,0,0
1.920,PAD,-0.110,-0.042,0.162,0.074,9.518,-1.03,-5.84,-0.62,101314.1,21.44,8.3006,32.9402096,-106.9219767,11,-61.0,0.0000,0,0
1.940,PAD,0.078,-0.078,0.070,-0.098,9.755,-0.36,-5.62,2.47,101314.8,21.57,8.3008,32.9402091,-106.9219776,11,-62.2,0.0000,0,0
1.960,PAD,0.007,-0.072,-0.011,-0.059,9.561,0.31,-5.10,-0.30,101330.2,21.59,8.3095,32.9402100,-106.9219766,11,-60.3,0.0000,0,0
1.980,PAD,-0.068,0.155,-0.066,0.093,9.825,0.53,-8.42,-2.37,101326.1,21.35,8.3104,32.9402106,-106.9219768,11,-62.6,0.0000,0,0
2.000,PAD,-0.001,-0.045,-0.152,0.101,9.599,-3.94,-4.68,1.09,101316.8,21.37,8.3113,32.9402099,-106.9219763,11,-60.6,0.0000,0,0
2.020,PAD,0.108,-0.017,0.007,-0.034,9.841,-0.68,-4.06,0.90,101329.8,21.53,8.3050,32.9402093,-106.9219771,11,-61.2,0.0000,0,0
2.040,PAD,0.009,-0.118,-0.233,-0.067,9.458,-1.74,-3.85,-1.50,101316.3,21.54,8.3051,32.9402099,-106.9219778,11,-60.5,0.0000,0,0
2.060,PAD,0.086,-0.069,-0.100,-0.057,9.554,-2.87,-6.60,-2.80,101324.1,21.47,8.3041,32.9402095,-106.9219766,11,-63.4,0.0000,0,0
2.080,PAD,0.067,0.022,-0.242,-0.206,9.792,-4.29,-7.35,1.07,101322.5,21.58,8.3051,32.9402098,-106.9219769,11,-61.5,0.0000,0,0
2.100,PAD,0.071,0.134,0.141,0.113,10.024,-2.71,-5.47,0.28,101324.9,21.61,8.3039,32.9402108,-106.9219779,11,-61.2,0.0000,0,0
2.120,PAD,0.056,0.057,-0.058,-0.176,9.906,-2.57,-3.08,-2.31,101333.3,21.49,8.3002,32.9402095,-106.9219769,11,-62.7,0.0000,0,0
2.140,PAD,-0.008,0.156,0.187,0.022,9.602,-4.19,-3.81,1.91,101331.7,21.46,8.3041,32.9402104,-106.9219778,11,-61.0,0.0000,0,0
2.160,PAD,0.074,0.216,-0.223,-0.129,9.838,-3.33,-4.80,0.67,101325.8,21.35,8.3075,32.9402091,-106.9219762,11,-60.3,0.0000,0,0
2.180,PAD,-0.010,-0.206,0.019,-0.192,9.770,-5.56,-4.98,-0.22,101334.4,21.60,8.3017,32.9402093,-106.9219760,11,-62.6,0.0000,0,0
2.200,PAD,0.098,0.153,0.181,0.082,9.563,-5.33,-2.89,-1.92,101316.2,21.61,8.3104,32.9402097,-106.9219767,11,-62.6,0.0000,0,0
2.220,PAD,-0.075,-0.054,-0.113,0.193,9.519,-3.44,-2.88,-2.11,101325.2,21.53,8.3063,32.9402096,-106.9219761,11,-63.2,0.0000,0,0
2.240,PAD,0.086,0.133,-0.004,-0.102,10.000,-7.44,-3.51,-1.13,101317.0,21.58,8.3055,32.9402108,-106.9219769,11,-62.7,0.0000,0,0
2.260,PAD,-0.023,0.250,-0.007,0.153,10.146,-3.01,-4.97,-2.63,101331.4,21.55,8.3091,32.9402094,-106.9219778,11,-60.3,0.0000,0,0
2.280,PAD,0.003,-0.112,0.206,-0.212,10.021,-6.11,-3.57,0.62,101324.8,21.45,8.3024,32.9402098,-106.9219777,11,-61.7,0.0000,0,0
2.300,PAD,-0.026,0.194,0.103,0.245,9.945,-5.64,-0.92,-0.90,101331.9,21.48,8.3029,32.9402090,-106.9219760,11,-60.6,0.0000,0,0
2.320,PAD,-0.010,0.093,0.085,-0.097,10.198,-4.91,-3.83,1.50,101317.2,21.57,8.3057,32.9402109,-106.9219768,11,-62.8,0.0000,0,0
2.340,PAD,0.007,-0.246,0.237,-0.164,9.517,-7.15,-1.83,-1.15,101319.9,21.39,8.3021,32.9402102,-106.9219760,11,-62.3,0.0000,0,0
2.360,PAD,-0.044,-0.171,0.237,-0.237,9.864,-4.82,-1.23,2.68,101318.4,21.51,8.3032,32.9402105,-106.9219769,11,-61.8,0.0000,0,0
2.380,PAD,-0.075,-0.129,-0.175,-0.005,9.651,-6.31,-0.86,-2.12,101335.2,21.49,8.2997,32.9402093,-106.9219770,11,-62.7,0.0000,0,0
2.400,PAD,-0.013,0.151,-0.161,0.133,9.503,-7.02,-1.64,0.10,101335.2,21.56,8.3045,32.9402109,-106.9219766,11,-62.0,0.0000,0,0
2.420,PAD,0.102,-0.059,0.012,-0.246,10.192,-6.06,-0.83,-1.93,101319.1,21.61,8.3080,32.9402091,-106.9219758,11,-60.4,0.0000,0,0
2.440,PAD,0.007,0.205,-0.046,-0.217,9.670,-6.54,-1.69,-0.31,101326.7,21.46,8.3071,32.9402099,-106.9219764,11,-60.8,0.0000,0,0
2.460,PAD,-0.107,0.201,0.001,-0.181,9.479,-7.30,-2.30,-2.74,101318.5,21.58,8.3038,32.9402105,-106.9219771,11,-60.7,0.0000,0,0
2.480,PAD,-0.008,-0.079,-0.196,-0.214,9.661,-6.85,1.20,-1.49,101316.8,21.37,8.3029,32.9402104,-106.9219757,11,-61.9,0.0000,0,0
2.500,PAD,0.011,-0.112,-0.015,-0.180,9.496,-5.73,0.07,1.58,101332.1,21.45,8.3029,32.9402103,-106.9219765,11,-60.9,0.0000,0,0
2.520,PAD,0.034,-0.153,0.068,-0.097,10.182,-5.95,0.70,-2.54,101334.9,21.64,8.3030,32.9402101,-106.9219766,11,-61.9,0.0000,0,0
2.540,PAD,0.101,-0.214,0.084,-0.242,10.022,-7.02,0.69,1.66,101315.8,21.37,8.3047,32.9402108,-106.9219773,11,-62.0,0.0000,0,0
2.560,PAD,0.103,0.143,-0.194,0.162,9.458,-6.83,-0.90,2.99,101333.7,21.45,8.3096,32.9402095,-106.9219758,11,-62.0,0.0000,0,0
2.580,PAD,-0.107,-0.206,-0.034,-0.051,10.051,-8.48,3.83,2.52,101326.1,21.61,8.3006,32.9402095,-106.9219772,11,-63.0,0.0000,0,0
2.600,PAD,-0.016,-0.037,0.108,-0.237,9.992,-7.65,1.88,-2.24,101321.8,21.43,8.3076,32.9402108,-106.9219768,11,-63.1,0.0000,0,0
2.620,PAD,-0.116,0.242,0.048,-0.045,9.761,-9.80,2.11,-0.94,101330.5,21.40,8.2999,32.9402091,-106.9219757,11,-61.5,0.0000,0,0
2.640,PAD,0.076,0.076,-0.184,0.015,9.552,-5.95,3.09,-2.38,101333.9,21.64,8.3079,32.9402094,-106.9219757,11,-63.3,0.0000,0,0
2.660,PAD,0.067,0.193,-0.023,0.223,10.187,-8.44,3.77,-0.99,101332.2,21.60,8.3089,32.9402095,-106.9219773,11,-61.6,0.0000,0,0
2.680,PAD,0.118,-0.122,-0.156,0.188,9.879,-8.52,5.10,-1.12,101323.8,21.40,8.3059,32.9402104,-106.9219767,11,-61.6,0.0000,0,0
2.700,PAD,0.115,-0.221,-0.198,-0.135,9.788,-6.72,3.11,1.74,101315.4,21.36,8.2990,32.9402090,-106.9219768,11,-62.4,0.0000,0,0
2.720,PAD,-0.033,-0.059,0.002,-0.173,9.638,-9.47,2.13,2.23,101330.4,21.60,8.3033,32.9402092,-106.9219765,11,-62.4,0.0000,0,0
2.740,PAD,-0.121,0.057,0.056,-0.130,9.876,-7.23,5.31,-1.21,101316.2,21.37,8.3010,32.9402104,-106.9219756,11,-63.5,0.0000,0,0
2.760,PAD,0.016,-0.082,-0.211,-0.212,9.533,-9.12,2.94,-2.60,101330.2,21.44,8.2999,32.9402108,-106.9219752,11,-61.0,0.0000,0,0
2.780,PAD,0.079,-0.061,-0.016,0.166,10.204,-6.65,3.85,2.63,101318.3,21.38,8.2998,32.9402104,-106.9219756,11,-61.2,0.0000,0,0
2.800,PAD,0.106,-0.095,-0.148,-0.203,9.884,-7.38,6.37,1.66,101324.7,21.65,8.3084,32.9402091,-106.9219751,11,-63.7,0.0000,0,0
2.820,PAD,0.045,0.181,-0.010,-0.169,10.090,-10.33,5.09,0.83,101323.1,21.37,8.3097,32.9402101,-106.9219761,11,-63.2,0.0000,0,0
2.840,PAD,-0.023,0.037,-0.116,0.233,10.159,-7.08,3.74,1.99,101325.7,21.45,8.3063,32.9402093,-106.9219752,11,-62.6,0.0000,0,0
2.860,PAD,0.052,0.123,0.232,-0.014,9.867,-6.71,3.86,-1.77,101335.7,21.37,8.3050,32.9402106,-106.9219766,11,-63.7,0.0000,0,0
2.880,PAD,-0.054,-0.100,-0.064,0.011,9.550,-5.59,3.84,0.42,101328.2,21.61,8.3000,32.9402100,-106.9219763,11,-63.4,0.0000,0,0
2.900,PAD,0.094,-0.115,0.125,-0.023,10.026,-7.67,4.07,-1.49,101315.3,21.43,8.3098,32.9402106,-106.9219750,11,-61.5,0.0000,0,0
2.920,PAD,0.004,0.065,0.049,-0.240,9.798,-6.03,4.31,-2.15,101320.2,21.63,8.3070,32.9402100,-106.9219749,11,-60.5,0.0000,0,0
2.940,PAD,-0.087,0.141,-0.025,-0.143,9.610,-8.58,8.08,2.51,101314.8,21.49,8.3010,32.9402107,-106.9219753,11,-61.2,0.0000,0,0
2.960,PAD,-0.049,0.147,-0.072,-0.217,9.685,-5.81,7.69,0.23,101326.0,21.55,8.3068,32.9402103,-106.9219760,11,-63.5,0.0000,0,0
2.980,PAD,-0.076,-0.084,0.114,0.058,10.010,-6.78,4.78,1.48,101329.7,21.60,8.3065,32.9402109,-106.9219750,11,-60.3,0.0000,0,0
3.000,PAD,-0.077,0.062,-0.097,-0.043,9.879,-6.30,7.23,-0.44,101335.9,21.62,8.2994,32.9402109,-106.9219762,11,-60.7,0.0000,0,0
3.020,PAD,-0.045,0.123,0.078,0.147,9.690,-5.12,8.45,2.04,101331.3,21.58,8.2986,32.9402104,-106.9219763,11,-61.3,0.0000,0,0
3.040,PAD,0.049,-0.028,0.160,0.044,9.579,-5.63,6.28,0.29,101315.4,21.49,8.3083,32.9402104,-106.9219753,11,-62.5,0.0000,0,0
3.060,PAD,0.119,0.246,-0.135,-0.239,9.965,-6.32,6.47,-1.38,101317.4,21.42,8.3027,32.9402099,-106.9219755,11,-61.1,0.0000,0,0
3.080,PAD,0.065,0.235,0.066,-0.004,9.782,-5.33,7.37,-0.56,101323.3,21.55,8.3066,32.9402107,-106.9219749,11,-60.6,0.0000,0,0
3.100,PAD,0.007,0.212,-0.245,-0.088,10.037,-7.61,9.35,2.94,101335.5,21.53,8.3090,32.9402094,-106.9219756,11,-63.3,0.0000,0,0
